x,y,z,longitude,latitude,speed,sound,timestamp,type,
2.27104,11.6768,1.88124,87.2922,23.5452,1.85,78.4768,1.5015e+12,smooth road,
-2.35338,10.9083,7.42511,87.2922,23.5452,1.85,78.4768,1.5015e+12,pot holes,
-1.1208,10.1937,-6.85889,87.2922,23.5452,1.85,78.4768,1.5015e+12,pot holes,
-2.7374,7.31602,0.411057,87.2922,23.5452,1.85,78.4768,1.5015e+12,smooth road,
0.39917,5.73029,-9.94966,87.2922,23.5452,1.85,78.4768,1.5015e+12,pot holes,
-1.63513,8.55431,-6.82933,87.2922,23.5452,1.85,78.4768,1.5015e+12,pot holes,
-5.07802,11.0003,-0.556244,87.2922,23.5452,1.85,78.4768,1.5015e+12,smooth road,
1.58246,7.9632,-1.37846,87.2922,23.5452,1.85,78.4768,1.5015e+12,smooth road,
-0.191742,10.5329,-0.91481,87.2922,23.5452,1.85,78.4768,1.5015e+12,smooth road,
1.81044,12.3486,-7.0193,87.2922,23.5452,1.85,77.1737,1.5015e+12,pot holes,
-0.94281,11.5643,-4.612,87.2922,23.5452,1.85,77.1737,1.5015e+12,smooth road,
3.41666,11.6763,9.47073,87.2922,23.5452,1.85,77.1737,1.5015e+12,pot holes,
0.186752,7.88887,7.10217,87.2922,23.5452,1.85,77.1737,1.5015e+12,pot holes,
-0.789627,7.32315,2.61299,87.2922,23.5452,1.85,77.1737,1.5015e+12,smooth road,
1.0318,8.19853,3.6922,87.2922,23.5452,1.85,77.1737,1.5015e+12,smooth road,
-0.298416,8.85086,1.06697,87.2922,23.5452,1.85,77.1737,1.5015e+12,smooth road,
0.54599,7.36104,1.50313,87.2922,23.5452,1.85,77.1737,1.5015e+12,smooth road,
-1.19652,10.951,-2.15579,87.2922,23.5452,1.85,77.1737,1.5015e+12,smooth road,
0.472229,9.01215,-0.734009,87.2922,23.5452,1.85,77.1737,1.5015e+12,smooth road,
0.822998,10.4874,-5.25815,87.2922,23.5452,1.85,77.1737,1.5015e+12,pot holes,
-1.17856,13.513,-5.44502,87.2922,23.5452,1.85,77.1737,1.5015e+12,pot holes,
0.158142,8.79669,5.94908,87.2922,23.5452,1.3,75.9732,1.5015e+12,pot holes,
3.68369,9.60286,2.10469,87.2922,23.5452,1.3,75.9732,1.5015e+12,smooth road,
-2.29027,4.8586,4.11705,87.2922,23.5452,1.3,75.9732,1.5015e+12,smooth road,
1.22415,7.20471,-3.36787,87.2922,23.5452,1.3,75.9732,1.5015e+12,smooth road,
-0.50293,11.191,3.25661,87.2922,23.5452,1.3,75.9732,1.5015e+12,smooth road,
0.995255,6.72511,13.7849,87.2922,23.5452,1.3,75.9732,1.5015e+12,pot holes,
4.85207,7.65454,-3.62675,87.2922,23.5452,1.3,75.9732,1.5015e+12,smooth road,
-0.4133,10.3159,-5.93059,87.2922,23.5452,1.3,75.9732,1.5015e+12,pot holes,
1.39059,9.82324,0.547546,87.2922,23.5452,1.3,75.9732,1.5015e+12,smooth road,
5.12347,10.8207,-1.0163,87.2922,23.5452,1.3,75.9732,1.5015e+12,smooth road,
-7.27849,9.75467,-8.12236,87.2922,23.5452,1.3,75.9732,1.5015e+12,pot holes,
0.442184,9.73779,-4.96988,87.2922,23.5452,1.3,75.9732,1.5015e+12,smooth road,
4.10359,9.70831,6.42259,87.2922,23.5452,1.3,78.3869,1.5015e+12,pot holes,
-2.71182,9.48656,6.17159,87.2922,23.5452,1.3,78.3869,1.5015e+12,pot holes,
1.10664,8.59781,1.69801,87.2922,23.5452,1.3,78.3869,1.5015e+12,smooth road,
-0.0978394,10.2211,-1.70132,87.2922,23.5452,1.3,78.3869,1.5015e+12,smooth road,
-0.668564,7.83539,4.03122,87.2922,23.5452,1.3,78.3869,1.5015e+12,smooth road,
1.05191,10.1943,-2.19392,87.2922,23.5452,1.3,78.3869,1.5015e+12,smooth road,
1.18163,8.11421,6.05049,87.2922,23.5452,1.3,78.3869,1.5015e+12,pot holes,
-1.18098,11.5065,-0.247681,87.2922,23.5452,1.3,78.3869,1.5015e+12,smooth road,
-2.37512,9.13832,2.09595,87.2922,23.5452,1.3,78.3869,1.5015e+12,smooth road,
1.70375,9.39917,-1.18149,87.2922,23.5452,1.3,78.3869,1.5015e+12,smooth road,
